state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct,Dose1_diff,Dose2_diff
NE,2021,4,0.06271212121212122,0.8678737373737371,0.06943939393939394,0.024957070707070702,0.11328282828282825,0.0585858585858586,0.10080808080808082,0.1483838383838383,0.2954040404040405,38.49333333333335,25.97333333333333,0.0,15.15462365591399,13.818494623655903
NE,2021,5,0.057147727272727274,0.8678522727272727,0.07503409090909091,0.02634545454545454,0.07920454545454546,0.05147727272727273,0.15625,0.17897727272727273,0.2269318181818182,45.83225806451613,38.74193548387097,0.0,7.338924731182786,12.768602150537639
NE,2021,6,0.0778869565217391,0.8151913043478259,0.10689565217391307,0.029246956521739118,0.13869565217391305,0.02565217391304348,0.13226086956521738,0.17591304347826084,0.1965217391304348,49.94333333333334,44.76666666666667,0.0,4.11107526881721,6.024731182795705
NE,2021,7,0.06540397350993378,0.83941059602649,0.09514569536423842,0.07182450331125831,0.09721854304635763,0.05311258278145695,0.1262913907284768,0.1543046357615894,0.2309933774834437,52.62258064516126,48.60967741935484,0.0,2.6792473118279148,3.8430107526881656
NE,2021,8,0.05933466135458167,0.8588685258964147,0.08178087649402391,0.06078525896414343,0.10629482071713148,0.02410358565737052,0.13752988047808765,0.2055776892430279,0.27517928286852594,55.82903225806453,50.632258064516144,0.0,3.2064516129032725,2.0225806451613053
NE,2021,9,0.0764627659574468,0.830409574468085,0.09313829787234043,0.04676808510638298,0.09930851063829786,0.06468085106382977,0.12999999999999998,0.20925531914893614,0.31521276595744685,58.52,53.45333333333334,0.0,2.6909677419354736,2.8210752688171965
NE,2021,10,0.05435227272727273,0.8636249999999998,0.08202272727272727,0.0344159090909091,0.0938636363636364,0.06386363636363637,0.09772727272727272,0.11954545454545455,0.2493181818181817,60.21935483870968,55.5258064516129,3.5193548387096776,1.6993548387096737,2.072473118279561
NE,2021,11,0.08629090909090907,0.8433090909090909,0.07041818181818182,-0.026931818181818185,0.0981818181818182,0.09409090909090907,0.08272727272727272,0.1545454545454545,0.2791818181818182,62.51000000000001,56.84,19.42,2.2906451612903354,1.3141935483871023
NE,2021,12,0.10517599999999996,0.8131680000000002,0.08165599999999999,-0.03920079999999999,0.12167999999999997,0.046480000000000014,0.08112,0.17343999999999998,0.20104,65.38064516129032,58.89032258064518,34.48709677419356,2.8706451612903052,2.0503225806451795
NE,2022,1,0.07831707317073168,0.8451829268292683,0.07652439024390244,-0.013079268292682926,0.12329268292682928,0.037073170731707315,0.12707317073170732,0.16402439024390242,0.23073170731707315,67.57741935483871,60.738709677419365,43.935483870967744,2.196774193548393,1.8483870967741822
NE,2022,2,0.10605000000000002,0.8073499999999999,0.08664999999999999,-0.048605,0.0635,0.08449999999999999,0.2085,0.125,0.3675,69.08214285714287,62.09642857142857,47.62857142857143,1.5047235023041594,1.3577188940092029
NE,2022,3,0.057217391304347824,0.8356521739130435,0.10708695652173914,0.07681304347826087,0.08652173913043479,0.021739130434782608,0.19695652173913045,0.13,0.433913043478261,69.59032258064516,62.767741935483855,48.703225806451634,0.5081797235022947,0.6713133640552869
NE,2022,4,0.09183333333333334,0.8802777777777778,0.02788888888888889,-0.1642833333333333,0.09277777777777778,0.05555555555555555,0.17555555555555558,0.09277777777777778,0.19444444444444445,70.09666666666665,63.37,50.32666666666666,0.5063440860214854,0.6022580645161426
