state,Year,Month,Week,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
OH,2021,11,45,0.06321678321678323,0.8264615384615385,0.11032867132867134,0.11265104895104894,0.09909090909090908,0.04216783216783216,0.1304195804195804,0.1427972027972028,0.22860139860139853,56.557142857142864,52.31428571428571,16.95714285714286
OH,2021,11,46,0.08550806451612905,0.8477016129032255,0.06676612903225808,-0.012428225806451606,0.09153225806451612,0.00911290322580645,0.10024193548387096,0.20709677419354838,0.21298387096774193,57.35714285714287,52.614285714285714,20.614285714285717
OH,2021,11,47,0.08807377049180327,0.8108770491803281,0.10107377049180331,-0.05528196721311474,0.0912295081967213,0.05049180327868853,0.1312295081967213,0.18557377049180326,0.20516393442622952,57.97142857142857,52.800000000000004,23.614285714285717
OH,2021,11,48,0.10778260869565216,0.7985869565217392,0.09367391304347825,-0.028056521739130445,0.09652173913043481,0.045869565217391314,0.12217391304347826,0.21413043478260868,0.23739130434782604,58.4,53.0,26.1
OH,2021,12,48,0.0856993006993007,0.8289370629370629,0.08539160839160839,-0.04975804195804195,0.09748251748251746,0.02293706293706294,0.13685314685314684,0.2079020979020978,0.2055944055944055,58.7,53.38000000000001,27.880000000000003
OH,2021,12,49,0.09034057971014495,0.8241666666666666,0.08552173913043479,-0.021413043478260875,0.08565217391304349,0.03927536231884059,0.12391304347826088,0.17304347826086958,0.27347826086956517,59.18571428571429,53.98571428571428,31.2
OH,2021,12,50,0.07971279373368147,0.8152872062663181,0.10499477806788508,0.03307676240208876,0.0961096605744125,0.0248041775456919,0.11201044386422973,0.2409921671018277,0.17851174934725847,59.67142857142857,54.585714285714275,34.82857142857143
OH,2021,12,51,0.06560895522388063,0.8112567164179103,0.12311044776119402,0.09746149253731347,0.10698507462686564,0.03928358208955224,0.10564179104477608,0.1681791044776119,0.21814925373134333,60.07142857142857,54.95714285714285,38.07142857142857
OH,2021,12,52,0.08742982456140347,0.8159473684210526,0.09660964912280703,0.024058333333333338,0.0926754385964912,0.05833333333333332,0.11903508771929822,0.20956140350877184,0.2084210526315789,60.34000000000001,55.15999999999999,40.339999999999996
OH,2022,1,1,0.10915714285714281,0.8134619047619047,0.07735714285714286,-0.04372142857142857,0.11952380952380949,0.027761904761904762,0.12747619047619047,0.1741428571428571,0.23185714285714284,60.857142857142854,55.542857142857144,43.271428571428565
OH,2022,1,2,0.0781025641025641,0.8093076923076924,0.11258119658119656,0.07147264957264955,0.15632478632478627,0.04196581196581198,0.13205128205128205,0.14965811965811965,0.26307692307692304,61.357142857142854,55.92857142857143,45.88571428571429
OH,2022,1,3,0.055990000000000005,0.81366,0.13037,0.14622700000000002,0.151,0.046,0.11560000000000001,0.21279999999999993,0.2534999999999999,61.871428571428574,56.30000000000001,47.642857142857146
OH,2022,1,4,0.10969767441860465,0.8144069767441863,0.07586046511627907,-0.03732093023255815,0.07755813953488372,0.05453488372093024,0.11162790697674418,0.2145348837209302,0.33220930232558143,62.214285714285715,56.628571428571426,48.74285714285713
OH,2022,1,5,0.057100000000000005,0.8538,0.08919999999999999,0.05547000000000002,0.02,0.0,0.1,0.17400000000000002,0.406,62.3,56.8,49.2
OH,2022,1,52,0.08115517241379308,0.819103448275862,0.09975862068965519,0.07528965517241379,0.09913793103448276,0.05379310344827586,0.08465517241379311,0.2096551724137931,0.20775862068965517,60.6,55.3,41.5
OH,2022,2,5,0.08002000000000001,0.8217,0.09827999999999999,0.047948000000000005,0.16,0.039599999999999996,0.11280000000000001,0.16720000000000002,0.36,62.43333333333333,56.93333333333334,49.416666666666664
OH,2022,2,6,0.058732558139534874,0.889872093023256,0.0513953488372093,-0.10862674418604654,0.05372093023255815,0.039767441860465116,0.39372093023255805,0.15011627906976743,0.19930232558139535,62.542857142857144,57.142857142857146,49.68571428571429
