state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
CO,2021,3,0.05633507170795301,0.8507235984354624,0.09294263363754884,0.07905684485006517,0.11907431551499348,0.03311603650586701,0.09526727509778356,0.15657105606258154,0.2266492829204694,22.170967741935485,11.75161290322581,0.0
CO,2021,4,0.06163545150501675,0.8421070234113711,0.0962642140468227,0.07123846153846151,0.130886287625418,0.03190635451505017,0.10063545150501671,0.1338294314381271,0.23458193979933106,39.569999999999986,24.599999999999998,0.0
CO,2021,5,0.06586729857819905,0.8455639810426537,0.08856872037914698,0.05941943127962088,0.11132701421800946,0.040805687203791456,0.09796208530805685,0.17395734597156398,0.25817535545023707,50.46774193548387,40.18064516129032,0.0
CO,2021,6,0.072641935483871,0.8323129032258066,0.09504838709677423,0.08303225806451611,0.13267741935483865,0.02764516129032258,0.11241935483870966,0.1505483870967742,0.25703225806451613,56.28333333333333,48.75666666666666,0.0
CO,2021,7,0.09822243346007607,0.8112908745247142,0.09047908745247145,-0.011935931558935364,0.1019201520912547,0.03716730038022815,0.10363117870722434,0.18104562737642585,0.28709125475285163,59.08064516129032,53.26451612903226,0.0
CO,2021,8,0.08123868778280541,0.8135735294117646,0.10518325791855201,0.045870022624434494,0.10457013574660631,0.030452488687782792,0.12213800904977386,0.17018099547511326,0.264660633484163,61.925806451612914,55.622580645161285,0.0
CO,2021,9,0.08005871886120997,0.8333274021352313,0.08658540925266901,-0.014110142348754467,0.11540925266903918,0.03806049822064055,0.09704626334519574,0.14777580071174382,0.2755516014234874,64.59333333333335,58.24000000000001,0.0
CO,2021,10,0.09489130434782607,0.8226467391304341,0.08246467391304348,-0.036152717391304344,0.1183423913043478,0.03535326086956521,0.12054347826086954,0.1599184782608695,0.27739130434782616,66.63548387096775,60.561290322580646,3.758064516129033
CO,2021,11,0.07234633027522935,0.8337568807339445,0.09391055045871562,0.03738899082568808,0.10059633027522931,0.03456422018348623,0.12360091743119264,0.1711697247706422,0.26,69.51,62.443333333333335,20.546666666666667
CO,2021,12,0.07846452702702705,0.8326739864864867,0.08884966216216218,0.02586081081081082,0.11520270270270266,0.037331081081081074,0.11766891891891891,0.16221283783783783,0.27319256756756766,73.2290322580645,65.09677419354838,35.12580645161291
